f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp,pk
Celso,Bekesi,F,210,630-4533,FORSAN,TX,79733,M,N,30000,0.0,0,0,0,190
Stafano,Piette,M,337,733-5123,NEW IBERIA,LA,70562,S,Y,5000,2.0,4500,0,1000,231
Graydon,Nojima,F,870,555-2376,CENTERVILLE,AR,72829,S,N,90000,7.0,20,0,0,250
Muzhong,Derthick,M,859,501-8665,ATHOL,KY,41307,S,Y,95000,6.0,20,0,20,304
Hiroko,Cambanis,F,662,797-4304,JONESTOWN,MS,38639,M,Y,60000,5.0,0,12000,1500,311
Jacopo,Schach,M,479,289-3005,SARATOGA,AR,71859,M,Y,65000,7.0,0,40,20,337
Hesham,Koblitz,F,985,278-9364,LAFAYETTE,LA,70508,S,Y,85000,6.0,4500,0,1000,344
Sorana,Guttman,M,971,191-5670,O BRIEN,OR,97534,M,Y,75000,9.0,0,318,159,350
Mandayam,Degtyarev,F,915,449-8698,SAN ANTONIO,TX,78215,M,Y,100000,0.0,0,0,0,377
Kazuyoshi,Waymire,M,314,821-4983,BELL CITY,MO,63735,S,N,75000,6.0,2100,0,0,390
Mitsue,Hinsberger,F,901,256-2588,MURFREESBORO,TN,37128,S,Y,5000,0.0,0,0,0,416
Almira,Farrahi,M,803,775-6764,WALTERBORO,SC,29488,M,N,35000,7.0,0,6600,0,423
Huatian,Orlando,M,601,166-7120,JACKSON,MS,39215,S,Y,25000,5.0,6000,0,1500,472
Yanxiang,Biermann,M,630,263-6347,WASHINGTON,IL,61571,S,N,80000,3.0,2000,0,0,526
Mukkai,Druffel,M,605,478-1011,KENNEBEC,SD,57544,S,Y,100000,0.0,0,0,0,546
Jocelyne,Highnam,M,931,963-9324,SHELBYVILLE,TN,37160,S,Y,35000,0.0,0,0,0,593
Hamad,Fleischanderl,F,907,968-8870,MARSHALL,AK,99585,M,N,50000,0.0,0,0,0,627
Noritaka,Justo,F,386,556-2132,TAMPA,FL,33604,S,N,15000,0.0,0,0,0,636
Hagit,Wyrostek,M,775,795-4696,LAS VEGAS,NV,89144,M,N,35000,0.0,0,0,0,704
Chane,Pinheiro,F,769,879-1584,GULFPORT,MS,39503,M,N,35000,5.0,0,12000,0,707
Les,Kermode,F,202,367-2219,WASHINGTON,DC,20201,M,Y,85000,9.0,0,2740,1370,740
Eduardo,Apostopopoulos,F,478,763-7599,ADRIAN,GA,31002,S,N,85000,6.0,2700,0,0,751
Pierto,Yahalom,M,202,375-8920,WASHINGTON,DC,20424,M,Y,70000,9.0,0,2740,1370,752
Demetrios,Peot,F,769,470-9635,RICHTON,MS,39476,S,N,65000,5.0,6000,0,0,763
Bashar,Drewnowski,F,702,270-9771,LAMOILLE,NV,89828,M,Y,65000,0.0,0,0,0,770
Younggeun,Chalamaiah,F,803,913-5537,BLUFFTON,SC,29910,S,Y,85000,7.0,3300,0,3300,931
Selliah,Lantz,F,863,343-6629,PUNTA GORDA,FL,33983,M,Y,25000,0.0,0,0,0,1029
Zuwang,Moehrke,M,972,696-5108,EL PASO,TX,79903,S,N,70000,0.0,0,0,0,1048
Yihong,Czyzowicz,F,775,244-6350,RENO,NV,89505,M,N,100000,0.0,0,0,0,1057
Antonio,Chown,M,404,362-1222,MOULTRIE,GA,31788,S,N,25000,6.0,2700,0,0,1219
Yeogirl,Tabor,M,307,374-7156,OSAGE,WY,82723,M,Y,15000,0.0,0,0,0,1248
Menas,Cannata,F,432,313-8009,ANDREWS,TX,79714,S,Y,45000,0.0,0,0,0,1252
Regino,Remy,F,865,563-9778,MEMPHIS,TN,38127,S,Y,25000,0.0,0,0,0,1259
Neveenta,Rabi,F,702,119-7208,LAS VEGAS,NV,89137,M,Y,90000,0.0,0,0,0,1284
Adadeji,Negoita,F,479,335-9873,CARLISLE,AR,72024,S,Y,30000,7.0,20,0,20,1291
Gajanana,Shalini,F,318,968-5150,NEW ORLEANS,LA,70166,M,Y,100000,6.0,0,9000,1000,1359
Saroja,Graff,F,775,735-3004,HENDERSON,NV,89052,M,Y,15000,0.0,0,0,0,1366
