f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp,isDirty,errRule,errCol,pk
Nicolo,Newstead,F,202,169-4525,WASHINGTON,DC,20055,S,Y,35000,9.0,1370,0,1370,True,;Incorrect_Format,;rate,182025
Baltasar,Benn,F,609,863-5209,GARFIELD,NJ,7026,S,Y,15000,1.4,1000,0,1500,True,;Incorrect_Format,;zip,105314
Yuemin,Doszkocs,F,907,559-6268,ANCHORAGE,AK,99530,S,N,80000,0.0,0,0,0-*,True,;Incorrect_Format;Incorrect_Format,;child_exemp;rate,79929
Senro,Salvail,F,907,813-4527,STEBBINS,AK,99671,M,Y,25000,0.0,0-*,0,0,True,;Incorrect_Format;Incorrect_Format,;rate;single_exemp,172480
Prabuddha,Leitsch,M,939,829-9760,SALINAS,PR,751,M,Y,90000,0.0,0,0,0,True,;Incorrect_Format;Incorrect_Format,;rate;zip,115646
Shyam,Kroppenstedt,M,907,994-2005,ANCHORAGE,AK-*,99519,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format;Incorrect_Format,;state;rate,98494
Jialin,Oestreicher,M,205,478-6867,TUSCALOOSA,AL,35401,M,N,85000,5.0,1500,0,0,True,;Incorrect_Format;spellingMistake,;rate;marital_status,21986
Hungse,Picton,M,401,300-8893,WARWICK,RI,1907,S,N,50000,0.0,0,0,0,True,;Incorrect_Format;spellingMistake,;rate;zip,50711
Shin''ya,Bittar,F,907,397-5868,ANCHORAGE,AK-*,99522,S,Y,90000,0.0,0,0,0,True,;Incorrect_Format;spellingMistake;Incorrect_Format,;state;f_name;rate,18960
Ra''ed,Ruocco,F,701,340-5597,COLFAX,ND,58018,M,Y,15000,2.1,0,6600,3300,True,;spellingMistake,;f_name,77768
Eckhart,Vorobyov,F,804,965-3486,STERLING,AR,20165,S,Y,65000,5.75,900,0,900,True,;spellingMistake,;state,9976
Christophe,Sureson,F,812,206-5194,ROCKPORT,IN,1907,S,N,10000,3.4,1000,0,0,True,;spellingMistake,;zip,4560
Surveyors'',Fessel,M,801,244-3110,MONTICELLO,UT,84535,S,Y,95000,7.0,2475,0,2475,True,;spellingMistake;Incorrect_Format,;f_name;rate,127084
Shun''ichi,Kikuchi,F,802,429-1807,DERBY,VT,5829,S,Y,45000,3.9004214,3300,0,3300,True,;spellingMistake;Incorrect_Format,;f_name;zip,122458
